Client Id, Transaction Type, Transaction Date, Priority, Processing Fee
AS,SELL,10/11/2013,N,100
AS,BUY,06/11/2013,N,50
AS,SELL,08/11/2014,N,100
AP,BUY,12/11/2013,Y,500
AP,BUY,03/11/2013,Y,500
AP,SELL,01/11/2015,Y,500
GS,BUY,11/11/2014,Y,500
AP,DEPOSIT,07/11/2014,Y,500
AS,SELL,01/11/2014,N,100
GS,WITHDRAW,02/11/2015,Y,500
GS,DEPOSIT,11/11/2013,Y,500
GS,WITHDRAW,01/11/2013,Y,500
AP,DEPOSIT,06/11/2013,Y,500
AP,BUY,09/11/2013,Y,500
AS,DEPOSIT,02/11/2013,N,50
GS,BUY,08/11/2013,Y,500
AS,SELL,07/11/2013,N,100
HJ,SELL,04/11/2013,N,100
HJ,WITHDRAW,06/11/2015,N,100
GS,WITHDRAW,05/11/2013,Y,500
